id,category,question,gold_sections,required_facts,difficulty,status,notes
RA1,single-hop-lookup,"Which status code indicates the target resource has been assigned a new permanent URI, and what header field does the server use to convey that URI?",15.4.2; 10.2.2,301 (Moved Permanently); server SHOULD generate a Location header field carrying the new URI,easy,draft,"CONTROL (expect ceiling both arms). Anchors: 301 L3172, Location L1900. Answerable from the 301 section alone."
RA2,single-hop-lookup,"How does RFC 9110 define an ""idempotent"" request method, and which of the methods it defines are idempotent?",9.2.2,"idempotent = intended effect of N identical requests equals that of one; PUT, DELETE, and the safe methods are idempotent",easy,draft,CONTROL. Heading '9.2.2 Idempotent Methods' names it; single section. Anchor L1546.
RB1,multi-hop-synthesis,"When a request carries several conditional header fields (If-Match, If-Unmodified-Since, If-None-Match, If-Modified-Since, If-Range), in what order must a server evaluate them, and what rationale does the spec give for that ordering?",13.2.2; 13.2; 13.1.1; 13.1.2; 13.1.3; 13.1.4; 13.1.5,"order: If-Match -> (if absent) If-Unmodified-Since -> If-None-Match -> (GET/HEAD, if If-None-Match absent) If-Modified-Since -> If-Range/Range last; rationale: lost-update > cache-validation > partial-response, and entity tags presumed more accurate than date validators",hard,draft,Order in 13.2.2 (L~2570); field defs scattered 13.1.1-13.1.5 (L2387/2422/2455/2492/2529).
RB2,multi-hop-synthesis,"Which methods defined in RFC 9110 are BOTH safe AND cacheable by default, and what does the spec say determines whether a method is cacheable?",9.2.1; 9.2.3,"safe = GET,HEAD,OPTIONS,TRACE; cacheable = GET,HEAD,POST; intersection (both) = GET and HEAD; cacheable requires the method definition to explicitly allow caching (defer to [CACHING])",hard,draft,"Requires intersecting two separate subsections. Anchors: safe L1531, caching L1563. Headings don't signal 'both'."
RB3,multi-hop-synthesis,"A client sends a GET with both a Range and an If-Range header. Explain how If-Range changes the outcome, and which status codes can result (full vs partial vs error).",13.1.5; 14; 15.3.7; 15.5.17,"If-Range validator matches -> server MAY return 206 (Partial Content); validator does NOT match -> ignore Range, return 200 with full representation (not 412); unsatisfiable range -> 416 (Range Not Satisfiable)",hard,draft,"Evidence across 4 terse-heading sections: If-Range L2529, Range L2625, 206 L3064, 416 L3363."
RC1,cross-reference-resolution,"If a server has no representation acceptable to a request's content-negotiation header fields, what are its two permitted courses of action, and where is each stated?",12.4.1; 15.5.7,"option 1: honor by sending 406 (Not Acceptable); option 2: disregard the header field and respond as if not subject to content negotiation; the two-option rule is stated under content-negotiation Absence, 406 itself is defined separately",hard,draft,STRONGEST DISCRIMINATOR: the two-option rule lives under heading '12.4.1 Absence' (L2186) which does NOT name 406; 406 at L3293. A bare-heading retriever is unlikely to reach 12.4.1.
RD1,scattered-enumeration,"Enumerate every 4xx status code in RFC 9110 that specifically concerns authentication or authorization, and for each cite where it is defined and which auth header field it pairs with.",15.5.2; 15.5.4; 15.5.8; 11.6.1; 11.7.1,"401 Unauthorized (MUST send WWW-Authenticate, 11.6.1); 403 Forbidden (credentials insufficient/refuses; no required auth field); 407 Proxy Authentication Required (MUST send Proxy-Authenticate, 11.7.1)",hard,draft,"Enumeration; must include 407 (proxy) and not over-include. 401 L3258, 403 L3270, 407 L3300; WWW-Authenticate 11.6.1 L2042 vs Proxy-Authenticate 11.7.1 L2094."
RE1,boundary-absence,"Does RFC 9110 define how to compute a cached response's freshness lifetime? If not, which document does, and what does 9110 itself specify about caching?",NONE-for-freshness; 9.2.3,9110 does NOT define freshness lifetime; caching behavior (incl. freshness) is specified in [CACHING] = RFC 9111; 9110 only states which methods/responses are cacheable (9.2.3) and defers the rest to [CACHING],medium,draft,"Objective absence + cross-doc pointer. 9110 separates semantics from caching [CACHING]=9111 (L96, L285); cacheable methods 9.2.3 L1563. Correct answer states the absence."
RA3,single-hop-lookup,"What does the 201 (Created) status code indicate, and how is the newly created resource identified?",15.3.2,"201 = request fulfilled and one or more new resources created; the primary created resource is identified by a Location header field, or by the target URI if no Location is present",easy,draft,CONTROL (self-contained). Anchor L3019.
RA4,single-hop-lookup,What is the OPTIONS method used for in RFC 9110?,9.3.7,OPTIONS requests information about the communication options available for the target resource or server; a target of '*' refers to the whole server; response may convey an Allow field,easy,draft,CONTROL. Heading names it. Anchor L1709.
