qid,category,index,retriever,retrieval_score,answer_score,judge,note
DL3,direct-location,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-D,gpt-4o-2024-11-20,4,3,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
CN4,consistency,IDX-D,gpt-4o-2024-11-20,4,3,"claude-opus (agent, first pass)",
CN6,consistency,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-D,gpt-4o-2024-11-20,3,3,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-D,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
RD4,reflective-discovery,IDX-D,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-D,gpt-4o-2024-11-20,3,3,"claude-opus (agent, first pass)",
DL3,direct-location,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
CN4,consistency,IDX-C,gpt-4o-2024-11-20,4,3,"claude-opus (agent, first pass)",
CN6,consistency,IDX-C,gpt-4o-2024-11-20,2,1,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-C,gpt-4o-2024-11-20,2,2,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
RD4,reflective-discovery,IDX-C,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-C,gpt-4o-2024-11-20,3,3,"claude-opus (agent, first pass)",
DL3,direct-location,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-O,gpt-4o-2024-11-20,3,3,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,1,1,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,1,1,"claude-opus (agent, first pass)",
CN4,consistency,IDX-O,gpt-4o-2024-11-20,3,2,"claude-opus (agent, first pass)",
CN6,consistency,IDX-O,gpt-4o-2024-11-20,2,1,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-O,gpt-4o-2024-11-20,3,3,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-O,gpt-4o-2024-11-20,4,3,"claude-opus (agent, first pass)",
RD4,reflective-discovery,IDX-O,gpt-4o-2024-11-20,4,4,"claude-opus (agent, first pass)",
RD6,reflective-discovery,IDX-O,gpt-4o-2024-11-20,3,4,"claude-opus (agent, first pass)",
DL3,direct-location,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL4,direct-location,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL5,direct-location,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
DL9,direct-location,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS2,cross-section-synthesis,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS6,cross-section-synthesis,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CS8,cross-section-synthesis,IDX-C,claude-sonnet-4-5,4,3,"claude-opus (agent, first pass)",
CN4,consistency,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
CN6,consistency,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG4,evidence-gap,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG5,evidence-gap,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
EG6,evidence-gap,IDX-C,claude-sonnet-4-5,4,4,"claude-opus (agent, first pass)",
