id,category,question,expected_evidence,ground_truth,why_strategic,difficulty,status,notes
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,,easy,validated,Answered correctly in run 20260709T202248Z
DL4,direct-location,"According to the Poolula platform page, what five dimensions does its evaluation harness score, and what composite target must be met before production deployment?","Poolula Platform § Governance & Reliability → Evaluation Harness (node 0068, L681–700; dimensions table L690–699, target L700).","Tool Usage, Content Relevance, Semantic Similarity, Numerical Accuracy, Citation Accuracy; target ≥90% composite score before production deployment.","""Evaluation harness"" appears in ~6 documents; the answer lives under a non-obvious parent heading (""Governance & Reliability""), so keyword grabbing lands in the wrong doc while hierarchy navigation succeeds.",easy,selected,
DL5,direct-location,"What is the ""era-based smart defaults"" fallback in the fitness dashboard's workout classification, and what date defines the era boundary?","Self-Hosted Workout Intelligence § How It Works → ML Classification System, the ""Era-Based Smart Defaults"" details block (node 0084, L972–1000; the fallback hierarchy L983–1000).","When K-means has <5 workouts, classification falls back to era defaults at medium confidence (0.5): before June 1, 2018 (Choco's arrival) → real_run; after → pup_walk; tertiary fallback is rule-based pace thresholds.","Content inside a collapsed <details> block under one of SIX identical ""How It Works"" headings — tests both disambiguation of a recurring title and navigation depth.",medium,selected,
DL9,direct-location,"What instruction-count ceiling does the instruction-file scoring post cite from Anthropic's guidance, and how did the author's own CLAUDE.md measure against it?","A Scoring System for AI Instruction Files § What the research says about size (node 0210, L2703–2709).","Frontier models follow roughly 150–200 instructions reliably; Claude Code's system prompt accounts for ~50. Her CLAUDE.md contained ~150 instructions, putting the total at ~200 — right at the ceiling.",Clean single-source lookup with two related numbers that must be combined correctly (150–200 ceiling vs 150 + 50 = 200 at the ceiling) — catches sloppy synthesis.,easy,selected,
CS2,cross-section-synthesis,"Across the articles, what recurring critique is made about how organizations adopt AI (adoption-vs-value, skills-vs-judgment)?",Articles: 'AI Skills Gap Is Often a Judgment Gap' and 'The Missing Layer Between AI Adoption and AI Value'.,Judgment gap + infrastructure/value gap; adoption metrics != value.,,medium,validated,Answered well in run 20260709T202248Z
CS6,cross-section-synthesis,"The idea that ""retrieval works through context and association, not brute-force search"" recurs across the corpus. Where does it appear, and to what different technical domain does each instance apply it?","Homepage § Cognitive Principles in Practice → Metadata Matters card (node 0015, L98–102); My Journey § The Big Turns → Making Metadata Human-Friendly (node 0053, L428–430); Three Readers § The deeper idea (node 0223, L2843–2852); Memory Is More Than Storage resource (node ~0263, L3689–3696). At least three of the four.","Acceptance criteria: identify ≥3 instances and their domains — (a) homepage: web metadata as ""digital equivalent of cognitive context""; (b) My Journey: SEC data-catalog design mirroring associative human recall; (c) Three Readers: structured data as the associations that let queries surface a page (""the page is the memory""); (d) Memory resource: selection/structure/retrieval/revision/forgetting for AI agents. Strong answers name the shared claim; which instances are cited may reasonably vary.","The concept is never given one canonical name — tests whether the system can track an idea across surface vocabularies (metadata/SEO, data governance, agent memory). Directly probes the experiment's ""knowledge legibility"" theme.",hard,selected,
CS8,cross-section-synthesis,"Which of the six portfolio projects use Streamlit, and what trade-off do the project pages repeatedly acknowledge for choosing it?","Technology headers of all six project pages (L550, L807, L1226, L1487, L1723, L1975); ""Why Streamlit?"" details blocks in Fitness (L1102–1115) and Beehive (L1394–1406); Convoscope § Why These Choices (L2129–2131).","Five of six: Fitness, Beehive, ChronoScope, Digital Memory Chest, Convoscope. Poolula is the exception (FastAPI + CLI; no Streamlit in its stack). Trade-off, stated near-verbatim in multiple places: less UI customization (than React) and Streamlit-specific session/state patterns, accepted for much faster data-app development.","Enumeration across ALL project branches, including two where the evidence is only in the metadata header — punishes first-match retrieval; the ""which one doesn't"" part tests completeness.",medium,selected,
CN4,consistency,"How many years of workout/running data does the corpus claim? Compare Start Here, the fitness project page, and the 7±2 essay — do they agree?","Start Here § quickest path, item 2 (node 0021 area, L185: ""13 years of running data""); Self-Hosted Workout Intelligence § Summary / 30-second version (L815–817: ""14 years"") and The Problem (L843: ""14 years""); Choco Effect table (L1060–1065: 7 yrs + 6.5 yrs ≈ 13.5); 7±2 essay § Evidence across three domains (L3252: ""14 years, 2,593 workouts"").",They do not fully agree: Start Here says 13 years; the project page and the essay say 14; the project's own pre/post table sums to ~13.5. A correct answer surfaces the discrepancy (plausibly drift as time passed) rather than picking one number.,"Classic naive-retrieval trap: any single hit ""answers"" the question confidently. Only a system that checks multiple branches detects the inconsistency.",medium,selected,
CN6,consistency,"What publication date does ""Why Metadata Matters"" carry in its metadata header, and what date does the post's body claim it was published? Do they agree?","Why Metadata Matters header block (node 0225, L2866–2875: ""Publication date: 2025-11-7"") and § The Meta-Meta Insight (node 0235, L2992–3001: ""It was published on 2025-11-15"").","They disagree: header says Nov 7, 2025; the body's self-describing example says Nov 15, 2025. Bonus for noting the irony (a post about metadata consistency, whose author later wrote ""dates are promises you'll break"" in the instruction-file scoring post, L2743).","Requires reading both the doc's metadata preamble and a deep body section — tests whether normalized front-matter is actually reachable through the index, an explicit preprocessing/rubric-A concern of the brief.",medium,selected,
EG4,evidence-gap,"Work With Me names ""Resume Explorer"" among ""live, deployed systems"" to browse. Is there a Resume Explorer project page in the corpus, and where — if anywhere — is that work actually described?","Work With Me § Browse projects card (node 0042, L329–331); the Project Portfolio section as a whole (nodes 0059–0167, L540–2174 — six projects, none of them Resume Explorer); indirect descriptions: Twin GraphRAG post (L2317, L2333–2337, ""Resume Graph Explorer"") and the Resume Data Schema resource (L3717 onward).",No project page exists. The system appears only obliquely: as an anecdote in the GraphRAG article and via the resume-data-schema resource that documents its underlying JSON. A strong answer states the absence confidently and cites the two indirect traces. Personally actionable: a showcased system with no portfolio page.,"Absence detection requires exhaustively ruling out a whole branch — the capability the brief says hierarchical reasoning should enable and keyword retrieval can't (""no hits"" ≠ verified absence).",hard,selected,
EG5,evidence-gap,"Work With Me cites two professional certifications. What are they, and does any other document in the corpus mention or evidence them?","Work With Me § Production AI (node 0040, L315–317). Negative evidence: My Journey (incl. § Dive Deeper, L480–530) and the rest of the corpus contain no mention; the resume PDF is referenced (L171, L299, L506) but is outside the corpus.","CDMP (data management) and Azure AI Engineer Associate. No other corpus document mentions either — the claims rest on assertion plus a pointer to an out-of-corpus resume PDF. (They are plausible, just unevidenced here.)","Small, checkable instance of the seed EG1 pattern; grades whether the system distinguishes ""supported elsewhere in corpus"" from ""asserted once.""",medium,selected,
EG6,evidence-gap,"The 7±2 essay presents quantitative evidence from three domains. Which of its statistics are actual numbers, and which are unfilled placeholders?","7±2 essay § Evidence across three domains (L3252–3275): real figures at L3252, L3263–3266, L3272–3274; placeholder lines L3260 (""[X%] of variance""), L3269 (""[Y%] of production queries""), L3275 (""[Z%] dwell time"").","Real: 2,593 workouts / 14 years; 3 clusters; 400+ inspections / 4 seasons; 5 weather variables; 7 edge types; the Convoscope 10-vs-3 model card anecdote. Placeholders (literal bracketed stubs labeled ""optional … placeholder""): variance explained, query coverage, engagement lift. A correct answer must not launder the placeholders into claimed results.","Tests reading precision over gist — summarization (IDX-C) plausibly erases the bracket-placeholder distinction, making this a sharp index-condition discriminator and a genuinely useful editorial finding for the owner.",medium,selected,
RD4,reflective-discovery,"A recurring character in this corpus is the exhausted human — someone making decisions while tired, stressed, or distracted. Where does this figure appear, and what design principle does it encode?","My Journey § Lenses I Bring to Every Problem (node 0047, L378–380: ""a tired human at 3pm on Friday"") and § Healthcare Through a Cognitive Lens (node 0051, L414–416: ""Nurses making decisions at 3am""); reinforced by the 7±2 essay's cognitive-load design rules (L3286–3311).","Acceptance criteria: find both My Journey instances; articulate the principle — systems must work under real cognitive load, not ideal conditions (""If it doesn't work when you're distracted, it doesn't work""). Strong answers connect it to chunking/progressive-disclosure rules; which connections are drawn may vary.","The motif is verbal, not headed — no section is titled anything like it. Tests thematic retrieval across a single doc's branches plus optional cross-doc linkage.",medium,selected,
RD6,reflective-discovery,"The harness resource decodes five meanings of ""harness"" in AI. Judged across the whole corpus, which meaning dominates the author's own usage, and does the resource itself acknowledge that origin?","What Does 'Harness' Mean in AI? (node ~0261, L3653–3668, esp. L3659 and § See one in practice); usage sites: Poolula evaluation harness (L560, L681+), Twin posts (L2387, L2426, ""evaluation harness""), Work With Me Offer 2 (L279).","Meaning #1 — the evaluation harness — dominates every corpus usage; the resource explicitly says she built the decoder while building the Twin's evaluation setup, and its ""See one in practice"" links point to the two Twin posts. Consistent usage; the other four meanings appear only inside the decoder.","Terminology-consistency probe (sharpens seed CN3) that requires aggregating scattered usages against a definitional page — a task where IDX-C's summaries might genuinely help, making it a good index-condition contrast.",medium,selected,
