qid,index,category,recall,absence,n_fetch,content_tok,note
RA1,IDX-D-rfc9110,single-hop-lookup,1.0,False,2,25868,2/2 gold hit
RA2,IDX-D-rfc9110,single-hop-lookup,1.0,False,4,4225,1/1 gold hit
RB1,IDX-D-rfc9110,multi-hop-synthesis,0.2857142857142857,False,2,980,2/7 gold hit
RB2,IDX-D-rfc9110,multi-hop-synthesis,1.0,False,2,631,2/2 gold hit
RB3,IDX-D-rfc9110,multi-hop-synthesis,1.0,False,4,1667,4/4 gold hit
RC1,IDX-D-rfc9110,cross-reference-resolution,0.5,False,2,319,1/2 gold hit
RD1,IDX-D-rfc9110,scattered-enumeration,1.0,False,2,6633,5/5 gold hit
RE1,IDX-D-rfc9110,boundary-absence,1.0,True,2,480,1/1 gold hit
RA3,IDX-D-rfc9110,single-hop-lookup,1.0,False,1,160,1/1 gold hit
RA4,IDX-D-rfc9110,single-hop-lookup,1.0,False,1,787,1/1 gold hit
RB4,IDX-D-rfc9110,multi-hop-synthesis,1.0,False,3,2303,3/3 gold hit
RB5,IDX-D-rfc9110,multi-hop-synthesis,1.0,False,2,1462,2/2 gold hit
RB6,IDX-D-rfc9110,multi-hop-synthesis,1.0,False,5,2353,4/4 gold hit
RC2,IDX-D-rfc9110,cross-reference-resolution,1.0,False,3,1695,3/3 gold hit
RC3,IDX-D-rfc9110,cross-reference-resolution,1.0,False,3,1536,3/3 gold hit
RC4,IDX-D-rfc9110,cross-reference-resolution,0.5,False,3,979,2/4 gold hit
RC5,IDX-D-rfc9110,cross-reference-resolution,1.0,False,3,1907,3/3 gold hit
RD2,IDX-D-rfc9110,scattered-enumeration,1.0,False,2,4972,5/5 gold hit
RD3,IDX-D-rfc9110,scattered-enumeration,1.0,False,1,4991,3/3 gold hit
RD4,IDX-D-rfc9110,scattered-enumeration,1.0,False,1,4037,7/7 gold hit
RD5,IDX-D-rfc9110,scattered-enumeration,1.0,False,1,4951,5/5 gold hit
RE2,IDX-D-rfc9110,boundary-absence,,True,2,760,absence: fetched 2 span(s)
RE3,IDX-D-rfc9110,boundary-absence,,True,2,9664,absence: fetched 2 span(s)
RE4,IDX-D-rfc9110,boundary-absence,,True,2,4150,absence: fetched 2 span(s)
RA1,IDX-C0-rfc9110,single-hop-lookup,0.5,False,1,298,1/2 gold hit
RA2,IDX-C0-rfc9110,single-hop-lookup,1.0,False,2,603,1/1 gold hit
RB1,IDX-C0-rfc9110,multi-hop-synthesis,0.2857142857142857,False,2,980,2/7 gold hit
RB2,IDX-C0-rfc9110,multi-hop-synthesis,0.5,False,2,137,1/2 gold hit
RB3,IDX-C0-rfc9110,multi-hop-synthesis,0.5,False,3,16351,2/4 gold hit
RC1,IDX-C0-rfc9110,cross-reference-resolution,0.5,False,2,62770,1/2 gold hit
RD1,IDX-C0-rfc9110,scattered-enumeration,0.4,False,3,577,2/5 gold hit
RE1,IDX-C0-rfc9110,boundary-absence,1.0,True,4,703,1/1 gold hit
RA3,IDX-C0-rfc9110,single-hop-lookup,1.0,False,1,160,1/1 gold hit
RA4,IDX-C0-rfc9110,single-hop-lookup,1.0,False,1,437,1/1 gold hit
RB4,IDX-C0-rfc9110,multi-hop-synthesis,1.0,False,3,3571,3/3 gold hit
RB5,IDX-C0-rfc9110,multi-hop-synthesis,0.5,False,2,1046,1/2 gold hit
RB6,IDX-C0-rfc9110,multi-hop-synthesis,1.0,False,4,1463,4/4 gold hit
RC2,IDX-C0-rfc9110,cross-reference-resolution,0.3333333333333333,False,1,622,1/3 gold hit
RC3,IDX-C0-rfc9110,cross-reference-resolution,0.6666666666666666,False,2,1098,2/3 gold hit
RC4,IDX-C0-rfc9110,cross-reference-resolution,0.25,False,3,926,1/4 gold hit
RC5,IDX-C0-rfc9110,cross-reference-resolution,1.0,False,3,777,3/3 gold hit
RD2,IDX-C0-rfc9110,scattered-enumeration,0.0,False,1,573,0/5 gold hit
RD3,IDX-C0-rfc9110,scattered-enumeration,1.0,False,5,3499,3/3 gold hit
RD4,IDX-C0-rfc9110,scattered-enumeration,1.0,False,8,1885,7/7 gold hit
RD5,IDX-C0-rfc9110,scattered-enumeration,1.0,False,7,3269,5/5 gold hit
RE2,IDX-C0-rfc9110,boundary-absence,,True,3,811,absence: fetched 3 span(s)
RE3,IDX-C0-rfc9110,boundary-absence,,True,1,476,absence: fetched 1 span(s)
RE4,IDX-C0-rfc9110,boundary-absence,,True,1,329,absence: fetched 1 span(s)
