id,category,question,gold_sections,required_facts,difficulty,status,notes
GA1,single-hop-lookup,"If a company breaks the data protection rules, how large a fine can it face at most, and what sorts of violations carry the steepest penalties?",Article 83,"10 000 000 EUR / 2% of worldwide turnover; 20 000 000 EUR / 4%; higher tier covers basic principles (Arts 5,6,7,9), data subjects' rights (Arts 12-22), transfers (Arts 44-49)",easy,DRAFT,Fine tiers are verbatim in Art 83(4)-(5).
GA2,single-hop-lookup,"If a company suffers a personal data breach, how quickly must it tell the regulator, and what does it have to include if it reports later than that?",Article 33,without undue delay; not later than 72 hours; late notification accompanied by reasons for the delay,easy,DRAFT,
GA3,single-hop-lookup,"What counts as 'personal data' under the GDPR, and what makes a person 'identifiable'?",Article 4,"any information relating to an identified or identifiable natural person; identifiers such as name, identification number, location data, online identifier",easy,DRAFT,Definitions article; direct lookup.
GA4,single-hop-lookup,"How old does a child have to be to agree on their own to an online service, and how much are individual countries allowed to lower that age?",Article 8,16 years; Member States may lower it but not below 13 years,easy,DRAFT,
GB1,multi-hop-synthesis,"When is a company required to carry out a data protection impact assessment, and what must it do if that assessment shows a high risk it cannot reduce?",Article 35; Article 36,likely to result in a high risk (systematic evaluation / large scale special categories / systematic monitoring of public areas); must consult the supervisory authority prior to processing,medium,DRAFT,"DPIA trigger in 35, consequence in 36."
GB2,multi-hop-synthesis,"Health data and similar sensitive information get special treatment. How does the GDPR's default stance on processing sensitive data differ from its default stance on ordinary personal data, and give two grounds that allow sensitive data to be processed anyway.",Article 6; Article 9,Article 6 permits processing when any listed basis applies; Article 9 starts from 'shall be prohibited' with enumerated exceptions; explicit consent; preventive or occupational medicine / public health / employment law (any two),medium,DRAFT,"Reworded: structure contrast is answerable from the text; the 'both must be satisfied' doctrine is EDPB guidance, NOT in the corpus."
GB3,multi-hop-synthesis,"After a data breach, how do the rules for notifying the regulator differ from the rules for notifying the affected individuals — in when each is required, how fast, and when you don't have to tell the individuals at all?",Article 33; Article 34,"authority: unless unlikely to result in a risk, 72 hours; data subjects: only when likely to result in a HIGH risk, without undue delay; exceptions: encryption/unintelligible data, subsequent measures, disproportionate effort (public communication instead)",medium,DRAFT,
GB4,multi-hop-synthesis,"When is a company required to appoint a Data Protection Officer, and what job protections and reporting line does that officer have?",Article 37; Article 38,public authority; core activities involving regular and systematic monitoring on a large scale; large scale special categories; shall not be dismissed or penalised; reports to the highest management level,medium,DRAFT,
GB5,multi-hop-synthesis,"If a country has not been officially recognised as offering adequate data protection, how can a company still lawfully send personal data there, and what last-resort option remains if none of those tools are available?",Article 46; Article 49,"appropriate safeguards: binding corporate rules, standard data protection clauses, approved code of conduct or certification; failing those, Article 49 derogations e.g. explicit consent, contract necessity",medium,DRAFT,Adequacy (45) is context; gold is the fallback chain 46->49.
GB6,multi-hop-synthesis,"Someone who previously agreed to let a company use their data changes their mind and withdraws that agreement. What does the GDPR require about how withdrawal works, and can the person then demand their data be deleted — on what basis?",Article 7; Article 17,right to withdraw at any time; withdrawal shall not affect lawfulness of prior processing; as easy to withdraw as to give consent; erasure where consent is withdrawn (Article 17(1)(b)),hard,DRAFT,Replaced portability question whose answer was fully contained in Article 20 (gold was inflated); this is a true 7->17 chain.
GC1,cross-reference-resolution,"If a person objects to a company continuing to use their personal data, on what basis can they object, and when can the company refuse to stop despite the objection?",Article 17; Article 21,"right to object on grounds relating to his or her particular situation; controller may continue if it demonstrates compelling legitimate grounds overriding the data subject, or for legal claims",medium,DRAFT,
GC2,cross-reference-resolution,"Can a company make fully automated decisions about a person using sensitive data such as health information? If it is ever allowed, under what two conditions, and what safeguard must be in place?",Article 22; Article 9,"points (a) and (g) of Article 9(2): explicit consent, substantial public interest; suitable measures to safeguard rights must be in place",medium,DRAFT,
GC3,cross-reference-resolution,A multinational wants to move personal data between its own entities in different countries using 'binding corporate rules.' What conditions must those binding corporate rules satisfy to be valid?,Article 47,"legally binding and apply to and are enforced by every member concerned; expressly confer enforceable rights on data subjects; specify structure, transfers, complaint procedures",hard,DRAFT,"Gold corrected post-run: all three arms answered fully from Article 47 alone (the cited requirements live there); requiring a fetch of Article 46 over-penalized uniformly. Cross-ref resolution is tested by the question wording, not by forcing a fetch of the citing article."
GC4,cross-reference-resolution,The right to have your data erased does not apply when the data is needed for certain public-health purposes. What kinds of health-related processing fall under that exception?,Article 17; Article 9,"(h) preventive or occupational medicine, medical diagnosis, provision of health or social care; (i) public interest in the area of public health, e.g. cross-border threats to health",hard,DRAFT,
GC5,cross-reference-resolution,"If a company ignores a formal order from the data protection regulator, which level of fine does it face, and name three of the corrective powers the regulator can use.",Article 83; Article 58,"up to 20 000 000 EUR or 4% of worldwide turnover; warnings, reprimands, order to comply with data subject requests, temporary or definitive limitation including a ban on processing (any three)",medium,DRAFT,
GD1,scattered-enumeration,What rights does the GDPR give individuals over their own personal data? List them.,Article 15; Article 16; Article 17; Article 18; Article 20; Article 21; Article 22,access (15); rectification (16); erasure (17); restriction (18); portability (20); object (21); not to be subject to automated individual decision-making (22),medium,DRAFT,Notification duty (19) and transparency (12-14) acceptable extras.
GD2,scattered-enumeration,What documentation and record-keeping must a company maintain to show it complies with the GDPR — from the overarching duty to demonstrate compliance down to specific records of processing activities and of breaches?,Article 5; Article 30; Article 33,accountability principle (5(2)); records of processing activities (30); controller shall document any personal data breaches (33(5)),hard,DRAFT,"Reworded so the accountability principle (5(2)) is unambiguously in scope, justifying Article 5 in gold."
