id,category,question,gold_sections,required_facts,difficulty,status,notes
GA1,single-hop-lookup,"What are the two maximum administrative fine tiers under the GDPR, and which kinds of infringements fall into the higher tier?",Article 83,"10 000 000 EUR / 2% of worldwide turnover; 20 000 000 EUR / 4%; higher tier covers basic principles (Arts 5,6,7,9), data subjects' rights (Arts 12-22), transfers (Arts 44-49)",easy,DRAFT,Fine tiers are verbatim in Art 83(4)-(5).
GA2,single-hop-lookup,"Within what deadline must a controller notify a personal data breach to the supervisory authority, and what must accompany a notification made after that deadline?",Article 33,without undue delay; not later than 72 hours; late notification accompanied by reasons for the delay,easy,DRAFT,
GA3,single-hop-lookup,"How does the GDPR define 'personal data', and what makes a natural person 'identifiable'?",Article 4,"any information relating to an identified or identifiable natural person; identifiers such as name, identification number, location data, online identifier",easy,DRAFT,Definitions article; direct lookup.
GA4,single-hop-lookup,"At what age can a child validly consent to information society services under the GDPR, and how far may Member States lower that age?",Article 8,16 years; Member States may lower it but not below 13 years,easy,DRAFT,
GB1,multi-hop-synthesis,"When is a data protection impact assessment required, and what must the controller do if the assessment indicates a high residual risk it cannot mitigate?",Article 35; Article 36,likely to result in a high risk (systematic evaluation / large scale special categories / systematic monitoring of public areas); must consult the supervisory authority prior to processing,medium,DRAFT,"DPIA trigger in 35, consequence in 36."
GB2,multi-hop-synthesis,"Article 9 prohibits processing special categories of data such as health data. How does its structure differ from Article 6's list of lawful bases, and name two grounds that can lift the Article 9 prohibition.",Article 6; Article 9,Article 6 permits processing when any listed basis applies; Article 9 starts from 'shall be prohibited' with enumerated exceptions; explicit consent; preventive or occupational medicine / public health / employment law (any two),medium,DRAFT,"Reworded: structure contrast is answerable from the text; the 'both must be satisfied' doctrine is EDPB guidance, NOT in the corpus."
GB3,multi-hop-synthesis,"Contrast breach notification to the supervisory authority with breach communication to data subjects: thresholds, timing, and when communication to data subjects is not required.",Article 33; Article 34,"authority: unless unlikely to result in a risk, 72 hours; data subjects: only when likely to result in a HIGH risk, without undue delay; exceptions: encryption/unintelligible data, subsequent measures, disproportionate effort (public communication instead)",medium,DRAFT,
GB4,multi-hop-synthesis,"When must an organisation designate a Data Protection Officer, and what protections and reporting position does the DPO hold?",Article 37; Article 38,public authority; core activities involving regular and systematic monitoring on a large scale; large scale special categories; shall not be dismissed or penalised; reports to the highest management level,medium,DRAFT,
GB5,multi-hop-synthesis,"In the absence of an adequacy decision, through what mechanisms may personal data be transferred to a third country, and what remains if none of those mechanisms are available?",Article 46; Article 49,"appropriate safeguards: binding corporate rules, standard data protection clauses, approved code of conduct or certification; failing those, Article 49 derogations e.g. explicit consent, contract necessity",medium,DRAFT,Adequacy (45) is context; gold is the fallback chain 46->49.
GB6,multi-hop-synthesis,"A data subject withdraws consent to processing. What does the GDPR require about the withdrawal itself, and which right can the data subject then invoke to have the data removed, on what ground?",Article 7; Article 17,right to withdraw at any time; withdrawal shall not affect lawfulness of prior processing; as easy to withdraw as to give consent; erasure where consent is withdrawn (Article 17(1)(b)),hard,DRAFT,Replaced portability question whose answer was fully contained in Article 20 (gold was inflated); this is a true 7->17 chain.
