qid,category,index,retriever,fetched_ranges,n_tool_calls,latency_s,content_tokens,output_tokens_est,in_price,out_price,floor_cost_usd,nav_input_est,nav_cost_est_usd,my_retrieval,my_answer
DL3,direct-location,IDX-D,gpt-4o-2024-11-20,801-1211,3,5.81,4632,225,2.5,10.0,0.01383,135822,0.341805,4.0,4.0
DL3,direct-location,IDX-D,claude-sonnet-4-5,801-1220,3,16.15,4795,398,3.0,15.0,0.020355,135985,0.413925,4.0,4.0
DL3,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,801-1239,3,231.04,5252,742,0.0,0.0,0.0,136442,0.0,4.0,3.0
DL3,direct-location,IDX-C,gpt-4o-2024-11-20,801-1219,3,8.64,4632,305,2.5,10.0,0.01463,135822,0.342605,4.0,4.0
DL3,direct-location,IDX-C,claude-sonnet-4-5,801-1220,3,24.47,4795,282,3.0,15.0,0.018615,135985,0.412185,4.0,4.0
DL3,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,232.3,0,1125,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL3,direct-location,IDX-O,gpt-4o-2024-11-20,801-1211,3,16.0,4632,368,2.5,10.0,0.01526,135822,0.343235,4.0,4.0
DL4,direct-location,IDX-D,gpt-4o-2024-11-20,681-702,2,4.03,250,152,2.5,10.0,0.002145,87710,0.220795,4.0,4.0
DL4,direct-location,IDX-D,claude-sonnet-4-5,681-701,3,11.63,188,200,3.0,15.0,0.003564,131378,0.397134,4.0,4.0
DL4,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,"120-160,540,2176 ; 2403-2476",6,407.96,24403,365,0.0,0.0,0.0,286783,0.0,1.0,1.0
DL4,direct-location,IDX-C,gpt-4o-2024-11-20,681-702,3,6.06,250,150,2.5,10.0,0.002125,131440,0.3301,4.0,4.0
DL4,direct-location,IDX-C,claude-sonnet-4-5,679-730,3,16.59,413,224,3.0,15.0,0.004599,131603,0.398169,4.0,4.0
DL4,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,60.27,0,776,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL4,direct-location,IDX-O,gpt-4o-2024-11-20,681-702,3,6.49,250,148,2.5,10.0,0.002105,131440,0.33008,4.0,4.0
DL5,direct-location,IDX-D,gpt-4o-2024-11-20,972-1004 ; 801-813,4,5.09,1161,188,2.5,10.0,0.0047825,176081,0.4420825,4.0,3.0
DL5,direct-location,IDX-D,claude-sonnet-4-5,972-1003,3,16.21,323,358,3.0,15.0,0.006339,131513,0.399909,4.0,4.0
DL5,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,801-930 ; 2403-2476 ; 813-930,5,212.88,5520,243,0.0,0.0,0.0,224170,0.0,3.0,2.0
DL5,direct-location,IDX-C,gpt-4o-2024-11-20,972-1004,3,7.54,422,237,2.5,10.0,0.003425,131612,0.3314,4.0,4.0
DL5,direct-location,IDX-C,claude-sonnet-4-5,972-1004,3,15.64,422,314,3.0,15.0,0.005976,131612,0.399546,4.0,4.0
DL5,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,65.73,0,790,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL5,direct-location,IDX-O,gpt-4o-2024-11-20,"972-984, 972-984",3,14.62,323,118,2.5,10.0,0.0019875,131513,0.3299625,3.0,3.0
DL9,direct-location,IDX-D,gpt-4o-2024-11-20,2670-2767,3,6.33,2323,197,2.5,10.0,0.0077775,133513,0.3357525,4.0,4.0
DL9,direct-location,IDX-D,claude-sonnet-4-5,2670-2777,3,14.44,2323,239,3.0,15.0,0.010554,133513,0.404124,4.0,4.0
DL9,direct-location,IDX-D,qwen2.5-7b-instruct-ctx32k,2670-2761,3,143.02,2130,226,0.0,0.0,0.0,133320,0.0,4.0,4.0
DL9,direct-location,IDX-C,gpt-4o-2024-11-20,"2703-2711,2711-2711",3,6.34,547,146,2.5,10.0,0.0028275,131737,0.3308025,4.0,4.0
DL9,direct-location,IDX-C,claude-sonnet-4-5,2703-2767,3,16.69,1765,310,3.0,15.0,0.009945,132955,0.403515,4.0,4.0
DL9,direct-location,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,68.59,0,711,0.0,0.0,0.0,87460,0.0,0.0,0.0
DL9,direct-location,IDX-O,gpt-4o-2024-11-20,2703-2711,3,11.75,547,205,2.5,10.0,0.0034175,131737,0.3313925,4.0,4.0
CS2,cross-section-synthesis,IDX-D,gpt-4o-2024-11-20,2403-2490 ; 2490-2660,4,7.65,4899,591,2.5,10.0,0.0181575,179819,0.4554575,4.0,4.0
CS2,cross-section-synthesis,IDX-D,claude-sonnet-4-5,2403-2489 ; 2490-2669 ; 3031-3132,5,28.87,6033,806,3.0,15.0,0.030189,224683,0.686139,4.0,4.0
CS2,cross-section-synthesis,IDX-D,qwen2.5-7b-instruct-ctx32k,"2403-2476,2490-2660",3,181.84,4722,374,0.0,0.0,0.0,135912,0.0,4.0,3.0
CS2,cross-section-synthesis,IDX-C,gpt-4o-2024-11-20,2403-2476 ; 2490-2660,4,9.99,4724,515,2.5,10.0,0.01696,179644,0.45426,4.0,4.0
CS2,cross-section-synthesis,IDX-C,claude-sonnet-4-5,"2403-2476,2490-2670",3,29.43,4874,848,3.0,15.0,0.027342,136064,0.420912,4.0,4.0
CS2,cross-section-synthesis,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),2,72.38,0,851,0.0,0.0,0.0,87460,0.0,0.0,0.0
CS2,cross-section-synthesis,IDX-O,gpt-4o-2024-11-20,2403-2476 ; 2490-2660,4,15.62,4724,521,2.5,10.0,0.01702,179644,0.45432,4.0,4.0
