qid,category,question,expected_evidence,ground_truth,index,retriever,fetched_ranges,content_tokens,n_tool_calls,latency_s,my_retrieval,my_answer,my_note,YOUR_retrieval,YOUR_answer,YOUR_notes,answer
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-D,gpt-4o-2024-11-20,801-1211,4632,3,5.81,4,4,,,,,"The project that is a self-hosted machine learning pipeline for workout/fitness data is titled **""Self-Hosted Workout Intelligence.""** It focuses on transforming 14 years of workout data into actionable insights, including the classification of runs versus dog walks, trend analysis, and dashboards for self-hosted analytics.

### Technology Stack:
- **Cloud backend**: AWS Lambda, AWS RDS (MySQL), S3, and SNS for the ETL pipeline.
- **Machine Learning**: scikit-learn (K-means clustering for classification), scipy (analytics).
- **Frontend**: Streamlit for the multi-page dashboard and visualizations.
- **Visualization tools**: Plotly for interactive charts.
- **Programming Language**: Python.
- **Infrastructure**: Docker and systemd for deployment and configuration.

Cited Sections:
- **Self-Hosted Workout Intelligence**
- **The Solution: Full-Stack Fitness Intelligence**
- **Architecture**"
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-D,claude-sonnet-4-5,801-1220,4795,3,16.15,4,4,,,,,"Perfect! I found the project. The **Self-Hosted Workout Intelligence** project is a self-hosted ML pipeline for workout/fitness data. Let me provide you with the details:

## Project: Self-Hosted Workout Intelligence

This is the self-hosted ML pipeline for workout/fitness data.

### Technology Stack:

**Core Technologies:**
- **Python** - Primary language
- **Streamlit** - Dashboard UI framework
- **MySQL** - Database (AWS RDS in production)
- **scikit-learn** - ML/classification algorithms
- **Plotly** - Interactive data visualization

**Cloud Infrastructure:**
- **AWS Lambda** - ETL pipeline processing
- **AWS S3** - File storage
- **AWS RDS** - MySQL database hosting
- **AWS SNS** - Notifications

**Additional Tools:**
- **Docker** - Containerization
- **systemd** - Production deployment
- **scipy** - Statistical analysis
- **pytest** - Testing

### What It Does:

This is a full-stack fitness analytics platform that:
- Ingests 14 years of workout data from MapMyRun exports via a cloud ETL pipeline (S3 → Lambda → RDS)
- Uses **K-means clustering** to automatically classify workouts as runs vs. dog walks vs. mixed activities
- Provides multi-dimensional consistency scoring across frequency, timing, performance, and streaks
- Includes anomaly detection and trend analysis
- Features an interactive Streamlit dashboard with multiple views including ""The Choco Effect"" data story

The project was built to solve a real problem: distinguishing between actual training runs and daily dog walks after adopting a puppy in 2018, which contaminated previously clean running data."
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-D,qwen2.5-7b-instruct-ctx32k,801-1239,5252,3,231.04,4,3,,,,,"The project titled **""Self-Hosted Workout Intelligence""** is described as a full-stack fitness analytics platform that aims to reclaim and transform 14 years of workout data into actionable intelligence. Here are the key aspects:

1. **Problem Context:**
   - **Data Degradation:** A rescue puppy, Choco, disrupted the consistency and quality of running data. What started as clean, consistent runs became a mix of actual runs and frequent dog walks.
   - **Challenges Faced:**
     - No workout classification
     - Data locked in apps with no custom queries or analysis
     - Platform dependency leading to years of data being held hostage

2. **Solution Overview:**
   - **Cloud ETL Pipeline:** Manages the ingestion and processing of MapMyRun CSV exports using AWS Lambda, S3, and RDS.
   - **ML Classification System:** Uses K-means clustering to automatically classify workouts into categories like `real_run`, `pup_walk`, `mixed`, and `outlier`.
   - **Multi-Dimensional Analytics:** Includes consistency scoring, trend detection, anomaly identification, and forecasting.

3. **Technical Details:**
   - **Data Pipeline Stages:**
     - Export, Upload, Extract, Transform, Load
     - Notify (via SNS)
   - **ML Classification:**
     - Era-based smart defaults to handle insufficient data.
   - **Consistency Scoring:** Measures frequency, timing, performance, and streaks.

4. **Shipped Features:**
   - **Dashboard Views:** AI Intelligence Hub, The Choco Effect Dashboard, Monthly Dashboard, Trends Analysis, SQL Explorer, Model Management.
   - **ML/AI Features:** K-Means Workout Classifier, Trend Detection, Anomaly Detection, Consistency Scoring, Intelligence Briefing, Algorithm Transparency.
   - **Data Infrastructure:** Cloud ETL Pipeline, Environment-Aware Config, Incremental Updates, Data Validation, Export Capabilities.
   - **Developer Experience:** Development Mode, MkDocs Documentation, Pytest Suite, Systemd Deployment.

5. **Key Findings:**
   - A 4x increase in workout frequency post-Choco
   - A complete shift in workout composition (from 95% runs to mixed activities)
   - New insights on running consistency and patterns

6. **Performance and Benchmarks:**
   - AI Classification: <5s target, ~3s actual
   - Intelligence Brief generation: <3s target, ~2s actual
   - Algorithm Transparency loading: <3s target, ~1s actual
   - Page load (all views): <2s target, <1.5s actual

7. **Future Enhancements:**
   - Integration with Apple Health or Garmin APIs for automated ingestion
   - Weather data enrichment for performance correlation
   - Geographic visualization of workout routes
   - Mobile-responsive dashboard improvements
   - Goal setting and progress tracking features
   - Community data sharing (anonymized patterns)
   - Custom ML model training on personal data

This project effectively combines machine learning, cloud computing, and user-friendly dashboards to transform raw fitness data into meaningful insights."
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-C,gpt-4o-2024-11-20,801-1219,4632,3,8.64,4,4,,,,,"The project titled **""Self-Hosted Workout Intelligence""** is a self-hosted machine learning (ML) pipeline focused on workout and fitness data. This platform addresses challenges such as distinguishing between running and dog-walking data, automating data ingestion, and providing actionable insights with full control over data.

### Stack and Components:
- **Core Tools and Technologies**:
  - **Programming Language**: Python
  - **Visualization**: Streamlit, Plotly
  - **Database**: AWS RDS (MySQL)
  - **Machine Learning**: scikit-learn (K-means clustering, trend detection, etc.)
  - **Cloud Services**: AWS Lambda (ETL), AWS S3 (file storage), AWS SNS
  - **Infrastructure**: Docker, systemd

- **Pipeline Features**:
  - A **cloud ETL pipeline** processes and ingests fitness data, starting from MapMyRun CSV files.
  - **ML classification system** for workout types (e.g., runs, walks).
  - Interactive dashboards, including ""The Choco Effect"" story that visualizes the impact of a new training variable (a pet dog).

This solution showcases a sophisticated use of end-to-end ML and data visualization to create a personalized fitness analytics platform. **(Source: ""Self-Hosted Workout Intelligence"" section)**."
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-C,claude-sonnet-4-5,801-1220,4795,3,24.47,4,4,,,,,"Perfect! I found the project. Let me provide the answer:

The project is **""Self-Hosted Workout Intelligence""** (also referred to as the ""Fitness Dashboard ML Pipeline""). 

**Tech Stack:**
- **Python** - Core language
- **Streamlit** - Dashboard UI framework (version 1.44+)
- **MySQL** - Database (AWS RDS for production, local MySQL for development)
- **scikit-learn** - Machine learning (K-means clustering for workout classification)
- **Plotly** - Interactive data visualizations
- **AWS Lambda** - ETL processing
- **AWS RDS** - Cloud database
- **AWS S3** - File storage and ingestion trigger
- **AWS SNS** - Notifications
- **scipy** - Statistical analysis
- **Docker** - Containerization
- **systemd** - Production deployment
- **TOML** - Configuration

The project is a full-stack fitness analytics platform that uses ML to automatically classify 14 years of workout data (distinguishing real runs from dog walks), features an automated cloud ETL pipeline, and provides multi-dimensional analytics including consistency scoring, trend detection, and anomaly identification—all self-hosted for complete data ownership."
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-C,qwen2.5-7b-instruct-ctx32k,(none fetched),0,2,232.3,0,0,"COLLAPSED: read 43730-tok structure, never called get_page_content, returned generic corpus overview",,,,"# Barbara Hidalgo-Sotelo Website Corpus

This corpus includes various articles, blog posts, and resource guides related to website development, metadata management, AI systems, and cognitive science applications in data tools. Below is an overview of the content:

## Articles

### The Three Readers of Your Web Page
- **Summary:** Discusses how different readers (browsers, search engines, social unfurlers) interact with web pages.
- **Key Points:**
  - Browsers care about practical stuff like character encoding and viewport settings.
  - Search engines use metadata to understand content and rank it.
  - Social media unfurls link previews using Open Graph tags.

### Why Metadata Matters
- **Summary:** Emphasizes the importance of metadata in enhancing search visibility, social sharing, and content organization.
- **Key Points:**
  - Metadata helps build structured pathways to your content.
  - Good metadata makes content more discoverable by search engines and users.
  - Provides a checklist for auditing and optimizing metadata.

### RAG Without the Theater — Evidence-Linked Retrieval Patterns You Can Defend
- **Summary:** Discusses effective strategies for retrieval-augmented generation (RAG) to ensure answers are defensible and grounded in evidence.
- **Key Points:**
  - Avoid anti-patterns like magic prompts and vector monoculture.
  - Use small, testable patterns that tie claims to sources.
  - Implement a pipeline of normalization, retrieval, composition, verification, and citation.

### Bees, Graphs, and Governance — Turning Unruly Observations into Evidence-Ready Decisions
- **Summary:** Describes modeling relationships between data entities as a graph to transform anecdotes into evidence-based decisions.
- **Key Points:**
  - Use minimal entity sets (photos, notes, weather) and define relationships.
  - Implement governance through lineage by construction, schema communication, and reproducibility guardrails.
  - Design UX for analytics that shows joins and trails.

### 7+-2 is Everywhere: Chunking is all you need
- **Summary:** Explains the cognitive science behind chunking and its application in design interfaces to improve sensemaking.
- **Key Points:**
  - People can't process more than seven meaningful chunks of information at a time.
  - Design for the edges, respect primacy and recency, and use progressive disclosure.

## Resources & Guides

### What Does 'Harness' Mean in AI?
- **Summary:** Explains various types of harnesses (evaluation, agent, readiness, judge, fuzzing) used in AI systems.
- **Key Points:**
  - A harness serves as the surrounding structure enabling the use and control of a capability.

### Memory Is More Than Storage
- **Summary:** Discusses memory as an active process rather than mere storage, both for humans and AI agents.
- **Key Points:**
  - Five key aspects of memory: selection, structure, retrieval, revision, forgetting.
  - Importance of architecture over capacity in designing effective memory systems.

### The Anti-Slop Writing Kit
- **Summary:** Provides tools to help write clear and concise text using an LLM without common pitfalls.
- **Key Points:**
  - A paste-in constraint block, two-pass workflow, self-edit checklist for writing with AI.

### Is Your Knowledge Ready for AI?
- **Summary:** A diagnostic tool to check if your organizational knowledge is in good shape for AI use and human verification.
- **Key Points:**
  - Questions across five dimensions (findability, structure, provenance, ownership, verification).

### AI Instruction File Evaluation Worksheet
- **Summary:** A two-page printable worksheet for evaluating AI assistant instruction files.
- **Key Points:**
  - Six-category scorecard covering structure, accuracy, comprehensiveness, actionability, information balance, usability.

### Git Workflow Cheatsheet
- **Summary:** Provides a one-screen Git workflow for developing and deploying code across multiple machines.
- **Key Points:**
  - Commands for every step of the Git workflow.

## Technical Documentation

### Resume Data Schema
- **Summary:** Describes how a single JSON file serves as the source of truth for professional data, powering dynamic filtering on various pages.
- **Key Points:**
  - Core sections (meta, profile, education, certifications, skills, experience, projects, publications).
  - Usage examples and technical details.

These resources are designed to aid in building and maintaining effective web content, metadata management, and AI systems."
DL3,direct-location,"Which project is a self-hosted ML pipeline for workout/fitness data, and what stack does it describe?","Project: Self-Hosted Workout Intelligence (fitness-dashboard). Stack: Python, Streamlit, MySQL, scikit-learn, Plotly, AWS Lambda/RDS, K-means.",Self-Hosted Workout Intelligence; full-stack ETL + K-means classification + Streamlit dashboard.,IDX-O,gpt-4o-2024-11-20,801-1211,4632,3,16.0,4,4,,,,,"The project titled **""Self-Hosted Workout Intelligence""** is a self-hosted machine learning pipeline designed for workout and fitness data.

### Stack and Technologies Used
- **Backend & Data Processing:**
  - **AWS Lambda**: For event-triggered cloud processing of workout data.
  - **AWS S3**: For data storage.
  - **AWS RDS (MySQL)**: For centralized workout data storage.
  - **Python**: With libraries such as scikit-learn and Plotly.
  
- **Machine Learning:**
  - **K-means Clustering**: For workout classification (e.g., runs, dog walks, outliers).
  
- **Visualization and Frontend:**
  - **Streamlit**: Multi-page dashboards for analysis and user interaction.
  - **Plotly**: For interactive charts.

- **Infrastructure:**
  - **Systemd**: For production deployment.
  - **Docker**: For containerized deployment and portability.

### Features
1. **Cloud ETL Pipeline** for data ingestion and processing.
2. **ML-driven Classification** of workouts into runs, dog walks, etc.
3. **Interactive Dashboards** with views such as ""The Choco Effect,"" monthly trends, and SQL exploration.
4. **Data Consistency Scoring** to measure workout regularity and performance over time.

This platform addresses challenges like segregating workout types (runs vs. dog walks), enhancing data quality, ensuring ownership, and providing actionable insights.  
(From **""Self-Hosted Workout Intelligence""**, **""The Solution: Full-Stack Fitness Intelligence""**, and related sections.)"
DL4,direct-location,"According to the Poolula platform page, what five dimensions does its evaluation harness score, and what composite target must be met before production deployment?","Poolula Platform § Governance & Reliability → Evaluation Harness (node 0068, L681–700; dimensions table L690–699, target L700).","Tool Usage, Content Relevance, Semantic Similarity, Numerical Accuracy, Citation Accuracy; target ≥90% composite score before production deployment.",IDX-D,gpt-4o-2024-11-20,681-702,250,2,4.03,4,4,,,,,"The Poolula platform's evaluation harness scores AI on the following five dimensions:

1. **Tool Usage**: Whether the AI invoked the correct tools.
2. **Content Relevance**: If the answer addresses the actual question.
3. **Semantic Similarity**: Alignment of the answer with expected content (embedding comparison).
4. **Numerical Accuracy**: Consistency of financial figures with expected values.
5. **Citation Accuracy**: Correctness and relevance of cited sources.

A composite score of at least 90% is required before production deployment. 

This information is from the ""Evaluation Harness"" section."
DL4,direct-location,"According to the Poolula platform page, what five dimensions does its evaluation harness score, and what composite target must be met before production deployment?","Poolula Platform § Governance & Reliability → Evaluation Harness (node 0068, L681–700; dimensions table L690–699, target L700).","Tool Usage, Content Relevance, Semantic Similarity, Numerical Accuracy, Citation Accuracy; target ≥90% composite score before production deployment.",IDX-D,claude-sonnet-4-5,681-701,188,3,11.63,4,4,,,,,"Perfect! I found the information you're looking for. According to the Poolula platform page, specifically in the ""Evaluation Harness"" section under ""Governance & Reliability"":

## Five Scoring Dimensions:

1. **Tool Usage** - Did the AI invoke the correct tools?
2. **Content Relevance** - Does the answer address the actual question?
3. **Semantic Similarity** - Does the answer match expected content (embedding comparison)?
4. **Numerical Accuracy** - Do financial figures match expected values?
5. **Citation Accuracy** - Are sources correct and relevant?

## Composite Target:

**≥90% composite score** must be met before production deployment.

The evaluation harness runs against a golden question set and outputs detailed evaluation reports that track performance across all five dimensions."
DL4,direct-location,"According to the Poolula platform page, what five dimensions does its evaluation harness score, and what composite target must be met before production deployment?","Poolula Platform § Governance & Reliability → Evaluation Harness (node 0068, L681–700; dimensions table L690–699, target L700).","Tool Usage, Content Relevance, Semantic Similarity, Numerical Accuracy, Citation Accuracy; target ≥90% composite score before production deployment.",IDX-D,qwen2.5-7b-instruct-ctx32k,"120-160,540,2176 ; 2403-2476",24403,6,407.96,1,1,,,,,"The content from the section titled ""What Looks Like an AI Skills Gap Is Often a Judgment Gap"" provides insightful material related to your query. Here are some key points extracted:

1. **Tool Fluency is Table Stakes**: Knowing how to operate tools tells you nothing about whether the problem was framed correctly or if the system's output should remain human-led.
   
2. **Speed Magnifies Judgment Skills**: Speed in AI systems doesn't necessarily indicate understanding; it magnifies whatever judgment skills are brought to bear on the task.

3. **The Missing Layer**: AI literacy is a stack of three tiers:
   - Capability: Choosing tools and structuring tasks.
   - Judgment: Framing problems and evaluating outputs.
   - Governance: Deciding what should stay human-led, especially in high-stakes situations.

4. **Questions that Do the Work**: Five key questions to ask before even opening a prompt box:
   1. What am I actually trying to decide, understand, or create?
   2. What would a genuinely good answer have to account for?
   3. What part of this should stay human-led?
   4. How will I know whether the output is any good?
   5. What does it cost me to be confidently wrong here?

The section emphasizes that the true value in AI literacy lies not just in tool fluency but in judgment and governance, particularly in defining what remains human-led.

If you need more specific content or further details from other sections, please let me know!"
