id,category,question,expected_evidence,ground_truth,why_strategic,difficulty,representation_sensitivity,confidence,status,notes
PDL1,direct-location,"How many observers and how many scenes were used in the main eye-tracking search experiment, and what was the search target?",Abstract L46; Introduction L77; Participants L83 ('Fourteen observers'); Stimuli L93 ('912 colour pictures').,"14 observers searched 912 outdoor urban scenes (half target-present, half target-absent) for a person/pedestrian.",Basic fact stated in both abstract and methods; tests whether the retriever lands on a definitional answer rather than a stray mention.,easy,low,high,candidate,"Abstract is fragmented into sentence-titled nodes in the vanilla PDF arm, so 'low' not 'none'."
PDL2,direct-location,"What eyetracker (device and sampling rate) was used, and at what distance did observers sit from the display?","Apparatus section, L87 ('240 Hz using an ISCAN RK-464 videobased eyetracker. Observers sat at 75 cm from the display monitor').",ISCAN RK-464 video-based eyetracker at 240 Hz; observers sat 75 cm from the monitor (65 cm from the camera).,Single-location factual lookup under a specific subsection; tests hierarchy navigation to the Apparatus node.,easy,none,high,candidate,
PMP1,methods-procedural,"In the Dalal-Triggs target-features detector, what scanning-window size was used and how many pedestrians was the reported implementation trained on?","Guidance by target features, L159 ('scanning window of 32×64 pixels and was trained on 2000 upright, unoccluded pedestrians').","A 32x64-pixel scanning window; trained on 2000 upright, unoccluded pedestrians (plus their left-right reflections).",The '32x64' spec is corrupted to '3264' in the raw PDF extraction (missing multiplication sign); directly probes glyph fidelity.,medium,high,high,candidate,REP-SENSITIVE: vanilla arm shows '3264'; Markdown arms show '32x64'.
PMP2,methods-procedural,How was the 'context oracle' constructed - who provided the data and what were they asked to mark?,"Evaluating the ground truth of scene context, L193 ('Seven new participants marked the context region... position a horizontal bar at the height where the heads would be').","Seven new participants marked, for each scene, the plausible pedestrian region by positioning a horizontal bar at expected head height; the oracle pooled all participants' (Gaussian-blurred, summed) responses.",Procedural detail buried mid-section under a run-in heading; tests retrieval of a specific method rather than the headline result.,medium,none,high,candidate,
PFT1,figure-or-table-evidence,"According to Table 1, what is the scene-context model's Area-Under-Curve (AUC) in target-absent scenes, and how does it compare with the saliency model in the same condition?","Table 1, target-absent block, L217 (Scene context .845) and L215 (Saliency .773).",Scene context AUC = .845 vs saliency AUC = .773 in target-absent scenes; scene context is higher by .072.,"Reads specific cells from a table that exists as a clean Markdown table in our arms but as spilled, unstructured text (no table node) in the vanilla PDF arm.",medium,high,high,candidate,REP-SENSITIVE: vanilla has no Table 1 node; values spill as one-per-line raw text.
PFT2,figure-or-table-evidence,"What three exponent weights (gamma1, gamma2, gamma3) does the combined model apply to the saliency, target-features, and scene-context maps, and which source receives the largest weight?","Equation 1, L135; Guidance by a combined model of attention, L197 ('weights (γ1=0.1, γ2=0.85, γ3=0.05)').","Per Equation 1 (M = MS^γ1 · MT^γ2 · MC^γ3): γ1=0.1 on saliency, γ2=0.85 on target features, γ3=0.05 on scene context; the largest weight (0.85) is on target features.","Requires reading Greek-symbol values and mapping them to sources via the equation; both are mangled in the vanilla PDF extraction (γ->'g', equation garbled).",medium,high,medium,candidate,REP-SENSITIVE. VERIFY: the number 0.85 on TARGET FEATURES (not context) is counterintuitive given the paper's 'context is most explanatory' claim - see PEG1. Mapping of γ index to source rests on Equation 1 ordering.
PFT3,figure-or-table-evidence,"What does Figure 8 compare, and how are the two panels defined?","Figure 8 caption, L205 ('Comparison between (a) the computationally defined scene context map and (b) the empirically defined context oracle map for a single image').","Figure 8 compares, for a single image, (a) the computationally-defined scene-context map vs (b) the empirically-defined context-oracle map (both thresholded at 20% of image area, with human-fixation dots).",Figure captions are addressable placeholder nodes in our arms but embedded in body text with no figure node in the vanilla arm; tests figure-content retrieval.,medium,high,high,candidate,REP-SENSITIVE: vanilla arm has zero figure nodes.
PCN1,consistency,"The paper claims the combined model reaches '94% of human agreement'. Is that figure stated consistently across the abstract, results, discussion, and concluding remarks?",Abstract L46; Modelling Results L209; Discussion L292; Concluding Remarks L320 (all '94%').,"Yes - 94% appears consistently in the abstract (L46), Modelling Results (L209), Discussion (L292), and Concluding Remarks (L320). Results additionally notes 96% when the context oracle is substituted for the computational scene-context model (L209).",Evidence-gap-style consistency check across four sections; a correct answer confirms agreement and may surface the 96%-with-oracle nuance.,medium,low,high,candidate,
PCN2,consistency,Is the scene-context model's target-absent AUC reported consistently between the Results prose and Table 1?,Results text L264 ('AUC of .85 and .84') and L209 ('AUC=.845'); Table 1 L217 (target-absent .845) and target-present .844.,Consistent up to rounding: Table 1 gives target-absent .845 / target-present .844; the prose rounds these to '.85 and .84' (L264) and cites the cross-condition average '.845' (L209). No contradiction.,"Forces the retriever to reconcile a table cell with prose; the table is corrupted/spilled in the vanilla arm, so a faithful reconciliation is only possible in the Markdown arms.",hard,high,high,candidate,REP-SENSITIVE.
PEG1,evidence-gap,"The combined model weights target features most heavily (gamma2=0.85) yet the paper concludes scene context is the most explanatory source. Does the paper reconcile this, and on what evidence?",Weights L197; ablation L278 ('largest drop in performance resulted when the scene context component was removed... t(405)=17.381'); 'reasons... addressed in the Discussion' L278.,"DRAFT: The paper does not argue importance from the exponent weights (which are fit for best validation performance, not importance); it establishes scene context's dominance via ABLATION - removing scene context causes the largest performance drop (target-absent t(405)=17.381, p<.001), far larger than removing saliency (6.922) or target features (5.440). The weight/importance tension is acknowledged as 'somewhat deceptive' and deferred to the Discussion.",Highest-discrimination evidence-gap item: rewards an answer that finds the ablation evidence and resists the naive 'largest weight = most important' reading. Fabrication-prone if the model invents a reconciliation.,hard,low,medium,candidate,HIGHEST-RISK GROUND TRUTH - interpretive framing; verify the ablation-not-weights reading is what Barbara intends.
